npi,nppes_provider_last_org_name,nppes_provider_first_name,nppes_provider_city,nppes_provider_state,specialty_description,description_flag,drug_name,generic_name,bene_count,total_claim_count,total_30_day_fill_count,total_day_supply,total_drug_cost,bene_count_ge65,bene_count_ge65_suppress_flag,total_claim_count_ge65,ge65_suppress_flag,total_30_day_fill_count_ge65,total_day_supply_ge65,total_drug_cost_ge65
1003000126,ENKESHAFI,ARDALAN,CUMBERLAND,MD,Internal Medicine,S,ATORVASTATIN CALCIUM,ATORVASTATIN CALCIUM,,13,15,450,139.32,,*,13,,15,450,139.32
1003000126,ENKESHAFI,ARDALAN,CUMBERLAND,MD,Internal Medicine,S,CIPROFLOXACIN HCL,CIPROFLOXACIN HCL,,11,11,96,80.99,,*,,*,,,
1003000126,ENKESHAFI,ARDALAN,CUMBERLAND,MD,Internal Medicine,S,DOXYCYCLINE HYCLATE,DOXYCYCLINE HYCLATE,20,20,20,199,586.12,,#,,#,,,
1003000126,ENKESHAFI,ARDALAN,CUMBERLAND,MD,Internal Medicine,S,ELIQUIS,APIXABAN,,17,17,510,6065.02,,*,17,,17,510,6065.02
1003000126,ENKESHAFI,ARDALAN,CUMBERLAND,MD,Internal Medicine,S,FUROSEMIDE,FUROSEMIDE,12,17,17,405,45.76,,#,,#,,,
1003000126,ENKESHAFI,ARDALAN,CUMBERLAND,MD,Internal Medicine,S,HYDRALAZINE HCL,HYDRALAZINE HCL,,16,16,420,169.48,,#,,#,,,
1003000126,ENKESHAFI,ARDALAN,CUMBERLAND,MD,Internal Medicine,S,ISOSORBIDE MONONITRATE ER,ISOSORBIDE MONONITRATE,16,33,35,1005,372.63,,#,,#,,,
1003000126,ENKESHAFI,ARDALAN,CUMBERLAND,MD,Internal Medicine,S,LEVOFLOXACIN,LEVOFLOXACIN,26,26,26,159,222.41,,#,,#,,,
1003000126,ENKESHAFI,ARDALAN,CUMBERLAND,MD,Internal Medicine,S,LISINOPRIL,LISINOPRIL,14,31,32,960,129.24,,#,,#,,,
1003000126,ENKESHAFI,ARDALAN,CUMBERLAND,MD,Internal Medicine,S,METOPROLOL TARTRATE,METOPROLOL TARTRATE,14,33,37,1050,183.29,14,,33,,37,1050,183.29
1003000126,ENKESHAFI,ARDALAN,CUMBERLAND,MD,Internal Medicine,S,METRONIDAZOLE,METRONIDAZOLE,11,12,12,127,152.66,11,,12,,12,127,152.66
1003000126,ENKESHAFI,ARDALAN,CUMBERLAND,MD,Internal Medicine,S,PANTOPRAZOLE SODIUM,PANTOPRAZOLE SODIUM,,15,15,450,140.83,,#,,#,,,
1003000126,ENKESHAFI,ARDALAN,CUMBERLAND,MD,Internal Medicine,S,PREDNISONE,PREDNISONE,17,20,20,121,59.96,,#,,#,,,
1003000126,ENKESHAFI,ARDALAN,CUMBERLAND,MD,Internal Medicine,S,WARFARIN SODIUM,WARFARIN SODIUM,,12,12,236,197.69,,*,12,,12,236,197.69
1003000126,ENKESHAFI,ARDALAN,CUMBERLAND,MD,Internal Medicine,S,XARELTO,RIVAROXABAN,12,34,34,943,12110.2,,#,,#,,,
1003000142,KHALIL,RASHID,TOLEDO,OH,Anesthesiology,S,ACETAMINOPHEN-CODEINE,ACETAMINOPHEN WITH CODEINE,17,51,51,1398,577.96,,#,37,,37,978,437.25
